effective,processed,type,amount($)
10/15/2023,10/16/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,937.73 "
10/15/2023,10/16/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,961.16 "
10/15/2023,10/16/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.19 
10/15/2023,10/16/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.19 
10/15/2023,10/16/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.32 
10/15/2023,10/16/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
10/15/2023,10/16/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$23.42 
10/13/2023,10/13/2023,Monthly Deduction,($135.94)
10/13/2023,10/13/2023,Payment,"$2,255.00 "
9/15/2023,9/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($25.22)
9/15/2023,9/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($25.34)
9/15/2023,9/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,"$1,528.06 "
9/15/2023,9/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,"$1,539.31 "
9/15/2023,9/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.22 
9/15/2023,9/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.22 
9/15/2023,9/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.26 
9/15/2023,9/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
9/15/2023,9/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$11.24 
9/13/2023,9/13/2023,Monthly Deduction,($136.02)
9/13/2023,9/13/2023,Payment,"$2,255.00 "
8/15/2023,8/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.79)
8/15/2023,8/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($19.79)
8/15/2023,8/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$984.72 
8/15/2023,8/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$984.73 
8/15/2023,8/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.18 
8/15/2023,8/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.18 
8/15/2023,8/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.34 
8/15/2023,8/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
8/15/2023,8/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
8/13/2023,8/14/2023,Monthly Deduction,($136.10)
8/13/2023,8/14/2023,Payment,"$2,255.00 "
7/15/2023,7/17/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.81)
7/15/2023,7/17/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($19.79)
7/15/2023,7/17/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$987.52 
7/15/2023,7/17/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$984.63 
7/15/2023,7/17/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$993.97 
7/15/2023,7/17/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$993.98 
7/15/2023,7/17/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.75 
7/15/2023,7/17/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$2.89 
7/15/2023,7/17/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
7/13/2023,7/13/2023,Monthly Deduction,($136.18)
7/13/2023,7/13/2023,Payment,"$2,255.00 "
6/15/2023,6/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.82)
6/15/2023,6/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($19.80)
6/15/2023,6/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$987.80 
6/15/2023,6/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$985.73 
6/15/2023,6/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$993.90 
6/15/2023,6/15/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$993.91 
6/15/2023,6/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$131.89 
6/15/2023,6/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$3.14 
6/15/2023,6/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$1.07 
6/13/2023,6/13/2023,Monthly Deduction,($136.26)
,,,
6/13/2023,6/13/2023,Payment,"$2,255.00 "
5/15/2023,5/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.80)
5/15/2023,5/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($8.24)
5/15/2023,5/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$979.93 
5/15/2023,5/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$824.08 
5/15/2023,5/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$155.86 
5/15/2023,5/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
5/15/2023,5/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
5/13/2023,5/15/2023,Monthly Deduction,($136.34)
4/15/2023,4/17/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.63)
4/15/2023,4/17/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($8.33)
4/15/2023,4/17/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.82 
4/15/2023,4/17/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$832.60 
4/15/2023,4/17/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.22 
4/15/2023,4/17/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
4/15/2023,4/17/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
4/13/2023,4/13/2023,Monthly Deduction,($134.04)
3/15/2023,3/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.63)
3/15/2023,3/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($8.32)
3/15/2023,3/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.63 
3/15/2023,3/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$831.89 
3/15/2023,3/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.74 
3/15/2023,3/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
3/15/2023,3/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
3/13/2023,3/13/2023,Monthly Deduction,($134.04)
2/15/2023,2/15/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.63)
2/15/2023,2/15/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($8.32)
2/15/2023,2/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.77 
2/15/2023,2/15/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$832.39 
2/15/2023,2/15/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.38 
2/15/2023,2/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
2/15/2023,2/15/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
2/13/2023,2/13/2023,Monthly Deduction,($134.03)
1/15/2023,1/17/2023,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($16.36)
1/15/2023,1/17/2023,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($16.36)
1/15/2023,1/17/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.75 
1/15/2023,1/17/2023,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$962.76 
1/15/2023,1/17/2023,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$673.21 
1/15/2023,1/17/2023,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$673.21 
1/15/2023,1/17/2023,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.17 
1/15/2023,1/17/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
1/15/2023,1/17/2023,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
1/13/2023,1/17/2023,Monthly Deduction,($134.03)
1/13/2023,1/17/2023,Payment,"$1,570.84 "
12/15/2022,12/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.57)
12/15/2022,12/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($19.57)
12/15/2022,12/15/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.68 
12/15/2022,12/15/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$962.68 
12/15/2022,12/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.72 
12/15/2022,12/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.73 
12/15/2022,12/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.25 
12/15/2022,12/15/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
12/15/2022,12/15/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
12/13/2022,12/13/2022,Monthly Deduction,($134.07)
12/13/2022,12/13/2022,Payment,"$2,255.00 "
11/15/2022,11/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.57)
11/15/2022,11/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($19.57)
11/15/2022,11/15/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.71 
11/15/2022,11/15/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$962.71 
11/15/2022,11/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.76 
11/15/2022,11/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.76 
11/15/2022,11/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.18 
11/15/2022,11/15/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
11/15/2022,11/15/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
11/13/2022,11/14/2022,Monthly Deduction,($134.12)
11/13/2022,11/14/2022,Payment,"$2,255.00 "
10/15/2022,10/17/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($19.57)
10/15/2022,10/17/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($19.57)
10/15/2022,10/17/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$962.63 
10/15/2022,10/17/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$962.63 
10/15/2022,10/17/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.67 
10/15/2022,10/17/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.68 
10/15/2022,10/17/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.35 
10/15/2022,10/17/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
10/15/2022,10/17/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
10/13/2022,10/13/2022,Monthly Deduction,($134.18)
10/13/2022,10/13/2022,Payment,"$2,255.00 "
9/15/2022,9/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($15.44)
9/15/2022,9/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($15.44)
9/15/2022,9/15/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$548.80 
9/15/2022,9/15/2022,Sweep - Segment Maturity Value Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$548.81 
9/15/2022,9/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.70 
9/15/2022,9/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.70 
9/15/2022,9/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.30 
9/15/2022,9/15/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus NYSE? Zebra Edge? Index,$0.00 
9/15/2022,9/15/2022,Sweep - Interest Credit to Segment - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$0.00 
9/13/2022,9/13/2022,Monthly Deduction,($134.24)
9/13/2022,9/13/2022,Payment,"$2,255.00 "
8/15/2022,8/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.95)
8/15/2022,8/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.95)
8/15/2022,8/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.67 
8/15/2022,8/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.68 
8/15/2022,8/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.35 
8/13/2022,8/15/2022,Monthly Deduction,($134.30)
8/13/2022,8/15/2022,Payment,"$2,255.00 "
7/15/2022,7/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.95)
7/15/2022,7/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.95)
7/15/2022,7/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.58 
7/15/2022,7/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.58 
7/15/2022,7/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.54 
,,,
,,,
7/13/2022,7/13/2022,Monthly Deduction,($134.36)
7/13/2022,7/13/2022,Payment,"$2,255.00 "
6/15/2022,6/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.95)
6/15/2022,6/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.95)
6/15/2022,6/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$994.61 
6/15/2022,6/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$994.61 
6/15/2022,6/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$130.48 
6/13/2022,6/13/2022,Monthly Deduction,($134.42)
6/13/2022,6/13/2022,Payment,"$2,255.00 "
5/15/2022,5/16/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.90)
5/15/2022,5/16/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.90)
5/15/2022,5/16/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$989.83 
5/15/2022,5/16/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$989.84 
5/15/2022,5/16/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$140.03 
5/13/2022,5/13/2022,Monthly Deduction,($134.47)
5/13/2022,5/13/2022,Payment,"$2,255.00 "
4/15/2022,4/18/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.73)
4/15/2022,4/18/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.73)
4/15/2022,4/18/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.55 
4/15/2022,4/18/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.55 
4/15/2022,4/18/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.50 
4/13/2022,4/13/2022,Monthly Deduction,($133.41)
4/13/2022,4/13/2022,Payment,"$2,255.00 "
3/15/2022,3/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.72)
3/15/2022,3/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.72)
3/15/2022,3/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.35 
3/15/2022,3/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.35 
3/15/2022,3/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.90 
3/13/2022,3/14/2022,Monthly Deduction,($133.46)
3/13/2022,3/14/2022,Payment,"$2,255.00 "
2/15/2022,2/15/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.73)
2/15/2022,2/15/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.73)
2/15/2022,2/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.50 
2/15/2022,2/15/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.50 
2/15/2022,2/15/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.60 
2/13/2022,2/14/2022,Monthly Deduction,($133.51)
2/13/2022,2/14/2022,Payment,"$2,255.00 "
1/15/2022,1/18/2022,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.72)
1/15/2022,1/18/2022,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.72)
1/15/2022,1/18/2022,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.47 
1/15/2022,1/18/2022,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.48 
1/15/2022,1/18/2022,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.65 
1/13/2022,1/13/2022,Monthly Deduction,($133.56)
1/13/2022,1/13/2022,Payment,"$2,255.00 "
12/15/2021,12/15/2021,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.72)
12/15/2021,12/15/2021,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.72)
12/15/2021,12/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.40 
12/15/2021,12/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.40 
12/15/2021,12/15/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.80 
12/13/2021,12/13/2021,Monthly Deduction,($133.60)
12/13/2021,12/13/2021,Payment,"$2,255.00 "
11/15/2021,11/15/2021,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.72)
11/15/2021,11/15/2021,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.72)
11/15/2021,11/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.43 
11/15/2021,11/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.43 
11/15/2021,11/15/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.74 
11/13/2021,11/15/2021,Monthly Deduction,($133.65)
11/13/2021,11/15/2021,Payment,"$2,255.00 "
10/15/2021,10/15/2021,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($9.72)
10/15/2021,10/15/2021,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($9.72)
10/15/2021,10/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$972.35 
10/15/2021,10/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$972.35 
10/15/2021,10/15/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$129.90 
10/13/2021,10/13/2021,Monthly Deduction,($133.70)
10/13/2021,10/13/2021,Payment,"$2,255.00 "
9/15/2021,9/15/2021,Sweep - Segment Fee - One-Year Choice Plus NYSE? Zebra Edge? Index,($5.54)
9/15/2021,9/15/2021,Sweep - Segment Fee - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,($5.54)
9/15/2021,9/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus NYSE? Zebra Edge? Index,$554.34 
9/15/2021,9/15/2021,Sweep - Net Premium Allocation - One-Year Choice Plus J.P. Morgan Mozaic II? Index?,$554.35 
9/15/2021,9/15/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$965.91 
9/13/2021,9/13/2021,Monthly Deduction,($133.75)
9/13/2021,9/13/2021,Payment,"$2,255.00 "
8/15/2021,8/16/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$359.38 
8/13/2021,8/13/2021,Monthly Deduction,($133.80)
8/13/2021,8/13/2021,Payment,$390.63 
7/15/2021,7/15/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$359.38 
7/13/2021,7/13/2021,Monthly Deduction,($133.80)
7/13/2021,7/13/2021,Payment,$390.63 
6/15/2021,6/15/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$359.38 
6/13/2021,6/14/2021,Monthly Deduction,($133.81)
6/13/2021,6/14/2021,Payment,$390.63 
5/15/2021,5/17/2021,Sweep - Minimum Required Fixed Interest Strategy Amount,$225.57 
